,Restaurant name,Open Hours,Address
39,Butter N Naan Northern Indian Modern Tandoor Cusine @Heart of the City in Central Singapore,['Monday - Sunday 00:00 - 04:00\n08:30 - 23:59'],"159, Thomson Road, Novena, 307612"
40,Brindhavan Vegetarian Restaurant 渚,"['Monday 00:00 - 01:59\n09:37 - 23:59', 'Tuesday 00:00 - 01:59\n09:46 - 23:59', 'Wednesday, Saturday 00:00 - 01:59\n09:41 - 23:59', 'Thursday 00:00 - 01:59\n09:36 - 23:59', 'Friday, Sunday 00:00 - 01:59\n09:34 - 23:59']","263 Upper Thomson Road, Bishan, 574390"
41,Royal Biriyani - Goldhill Shopping Centre,['Monday - Sunday 00:00 - 05:00\n08:30 - 23:59'],"159 Thomson Road, Novena, 307612"
42,"Naan House Restaurant, A Modern Indian Restaurant In East Area In Singapore - Chancerlodge Complex","['Monday - Wednesday 00:00 - 04:00\n10:00 - 23:59', 'Thursday - Sunday 00:00 - 03:59\n10:00 - 23:59']","105, Sims Avenue, #10-04, Geylang, 387429"
43,Sin Hoi Sai - Tiong Bahru Estate,['Monday - Sunday 00:00 - 02:45\n14:00 - 23:59'],"61/63 Tiong Bahru Road, Bukit Merah, 168719"
44,Aryan's Veg Restaurant / Authentic North Indian Pure Vegetarian Food - Goldhill Shopping Centre,['Monday - Sunday 00:00 - 05:00\n08:30 - 23:59'],"159 Thomson Road, Novena, 307612"
45,Al-Rabeca - Kim Keat Road,['Monday - Sunday 00:00 - 23:59'],"16, Kim Keat Road, Novena, 328840"
46,Lee Kwang Kee - Lorong 8 Toa Payoh,['Monday - Sunday 00:00 - 23:59'],"212 Lorong 8 Toa Payoh, #01-53, Toa Payoh, 310212"
47,Kim San Leng Drinks & Snacks - Bishan Street 13,['Monday - Sunday 00:00 - 23:59'],"Blk 511 Bishan Street 13, #01-522, Bishan, 570511"
48,XO Minced Meat Noodle - Newton Food Centre,['Monday - Sunday 00:00 - 23:59'],"500 Clemenceau Ave North, #01-10, Newton, 229495"
49,Suriya Curry House - Upper Serangoon Road,['Monday - Sunday 00:00 - 23:59'],"536A Upper Serangoon Road, Serangoon, 534552"
50,One Man Coffee - Upper Thomson Road,"['Monday, Wednesday - Sunday 09:00 - 15:30', 'Tuesday Closed']","215R Upper Thomson Road, Bishan, 574349"
51,Baker's Brew Studio - Thomson Garden Estate,['Monday - Sunday 11:00 - 20:30'],"246H Upper Thomson Road, Bishan, 574370"
52,Creamier Handcrafted Ice Cream and Coffee - Lorong 1 Toa Payoh,"['Monday - Thursday, Sunday 12:00 - 21:00', 'Friday - Saturday 12:00 - 22:00']","Blk 131 Lorong 1 Toa Payoh, #01-02, Toa Payoh, 310131"
53,Hello Arigato - Upper Thomson Road,"['Monday Closed', 'Tuesday - Friday 11:00 - 14:30\n18:00 - 20:00', 'Saturday - Sunday 10:00 - 20:00']","227 Upper Thomson Road, Bishan, 574359"
54,Fatboy's The Burger Bar - Yew Lian Park,"['Monday - Friday 12:00 - 22:30', 'Saturday 10:00 - 22:00', 'Sunday 11:00 - 22:30']","187 Upper Thomson Road, Bishan, 574335"
55,Daawat Tandoori - Yew Lian Park,"['Monday Closed', 'Tuesday - Sunday 11:00 - 15:00\n16:30 - 22:30']","207 Upper Thomson Road, Bishan, 574346"
56,Yole - Mount Alvernia Hospital,['Monday - Sunday 11:00 - 21:00'],"820 Thomson Road, #01-25, Toa Payoh, 574623"
57,Go2Eat - Thomson Garden Estate,['Monday - Sunday 11:30 - 23:00'],"236, Upper Thomson Road, Bishan, 574367"
58,Nummun Thai Kitchen - Thomson Imperial Court,"['Monday Closed', 'Tuesday - Friday 11:30 - 14:30\n17:35 - 20:45', 'Saturday - Sunday 11:30 - 14:30\n18:00 - 20:45']","200 Upper Thomson Road, #01-03, Bishan, 574424"
59,Mr. Onigiri - Thomson Ridge,"['Monday - Tuesday, Thursday - Sunday 10:00 - 20:00', 'Wednesday Closed']","215P Upper Thomson Road, Bishan, 574349"
60,TOMYUM MAMA - 244P Upper Thomson Road,"['Monday Closed', 'Tuesday - Friday 11:30 - 15:00\n17:00 - 22:30', 'Saturday 11:30 - 22:00', 'Sunday 11:00 - 22:00']","244P Upper Thomson Road, Bishan, 574369"
61,Soi 19 Thai Wanton Mee - Upper Thomson Road,"['Monday 10:30 - 15:45', 'Tuesday - Wednesday, Saturday 10:30 - 22:00', 'Thursday 10:30 - 21:30', 'Friday 11:00 - 23:00', 'Sunday 10:31 - 22:00']","244R Upper Thomson Road, Bishan, 574369"
62,Wonton Mama - Upper Thomson Road,"['Monday Closed', 'Tuesday, Thursday 11:30 - 15:00\n17:00 - 22:30', 'Wednesday, Friday 10:30 - 15:00\n17:00 - 22:30', 'Saturday 11:30 - 22:30', 'Sunday 11:00 - 22:00']","244P Upper Thomson Road, Bishan, 574369"
